date,adjusted_close
2025-01-02,102.0475
2025-01-03,102.1057
2025-01-06,102.1743
2025-01-07,102.2532
2025-01-08,102.3422
2025-01-09,102.4410
2025-01-10,102.5495
2025-01-13,102.6673
2025-01-14,102.7941
2025-01-15,102.9296
2025-01-16,103.0733
2025-01-17,103.2249
2025-01-20,103.3838
2025-01-21,103.5497
2025-01-22,103.7221
2025-01-23,103.9004
2025-01-24,104.0842
2025-01-27,104.2727
2025-01-28,104.4656
2025-01-29,104.6622
2025-01-30,104.8618
2025-01-31,105.0639
2025-02-03,105.2678
2025-02-04,105.4729
2025-02-05,105.6786
2025-02-06,105.8841
2025-02-07,106.0888
2025-02-10,106.2921
2025-02-11,106.4933
2025-02-12,106.6918
2025-02-13,106.8868
2025-02-14,107.0778
2025-02-17,107.2641
2025-02-18,107.4451
2025-02-19,107.6202
2025-02-20,107.7888
2025-02-21,107.9504
2025-02-24,108.1045
2025-02-25,108.2504
2025-02-26,108.3878
2025-02-27,108.5162
2025-02-28,108.6351
2025-03-03,108.7442
2025-03-04,108.8432
2025-03-05,108.9316
2025-03-06,109.0092
2025-03-07,109.0759
2025-03-10,109.1313
2025-03-11,109.1754
2025-03-12,109.2081
2025-03-13,109.2291
2025-03-14,109.2387
2025-03-17,109.2367
2025-03-18,109.2232
2025-03-19,109.1983
2025-03-20,109.1622
2025-03-21,109.1151
2025-03-24,109.0572
2025-03-25,108.9888
2025-03-26,108.9101
2025-03-27,108.8216
2025-03-28,108.7236
2025-03-31,108.6166
2025-04-01,108.5010
2025-04-02,108.3772
2025-04-03,108.2458
2025-04-04,108.1074
2025-04-07,107.9624
2025-04-08,107.8115
2025-04-09,107.6553
2025-04-10,107.4944
2025-04-11,107.3294
2025-04-14,107.1609
2025-04-15,106.9897
2025-04-16,106.8164
2025-04-17,106.6416
2025-04-18,106.4661
2025-04-21,106.2904
2025-04-22,106.1153
2025-04-23,105.9414
2025-04-24,105.7693
2025-04-25,105.5998
2025-04-28,105.4333
2025-04-29,105.2707
2025-04-30,105.1123
2025-05-01,104.9589
2025-05-02,104.8109
2025-05-05,104.6690
2025-05-06,104.5337
2025-05-07,104.4054
2025-05-08,104.2846
2025-05-09,104.1718
2025-05-12,104.0673
2025-05-13,103.9716
2025-05-14,103.8851
2025-05-15,103.8080
2025-05-16,103.7407
2025-05-19,103.6834
2025-05-20,101.7701
2025-05-21,101.7341
2025-05-22,101.7086
2025-05-23,101.6937
2025-05-26,101.6895
2025-05-27,101.6960
2025-05-28,101.7132
2025-05-29,101.7413
2025-05-30,101.7800
2025-06-02,101.8294
2025-06-03,101.8894
2025-06-04,101.9597
2025-06-05,102.0403
2025-06-06,102.1310
2025-06-09,102.2314
2025-06-10,102.3414
2025-06-11,102.4607
2025-06-12,102.5888
2025-06-13,102.7255
2025-06-16,102.8704
2025-06-17,103.0230
2025-06-18,103.1830
2025-06-19,103.3498
2025-06-20,103.5229
2025-06-23,103.7019
2025-06-24,103.8861
2025-06-25,104.0751
2025-06-26,104.2683
2025-06-27,104.4650
2025-06-30,104.6647
2025-07-01,104.8667
2025-07-02,105.0705
2025-07-03,105.2753
2025-07-04,105.4805
2025-07-07,105.6855
2025-07-08,105.8895
2025-07-09,106.0920
2025-07-10,106.2923
2025-07-11,106.4897
2025-07-14,106.6836
2025-07-15,106.8733
2025-07-16,107.0583
2025-07-17,107.2378
2025-07-18,107.4114
2025-07-21,107.5784
2025-07-22,107.7383
2025-07-23,107.8905
2025-07-24,108.0346
2025-07-25,108.1700
2025-07-28,108.2964
2025-07-29,108.4133
2025-07-30,108.5203
2025-07-31,108.6171
2025-08-01,108.7033
2025-08-04,108.7788
2025-08-05,108.8432
2025-08-06,108.8964
2025-08-07,108.9383
2025-08-08,108.9687
2025-08-11,108.9876
2025-08-12,108.9950
2025-08-13,108.9908
2025-08-14,108.9753
2025-08-15,108.9484
2025-08-18,108.9103
2025-08-19,108.8613
2025-08-20,108.8015
2025-08-21,108.7313
2025-08-22,108.6510
2025-08-25,108.5609
2025-08-26,108.4614
2025-08-27,108.3530
2025-08-28,108.2361
2025-08-29,108.1111
2025-09-01,107.9787
2025-09-02,107.8393
2025-09-03,107.6935
2025-09-04,107.5419
