date,adjusted_close
2025-01-02,106.0614
2025-01-03,106.1338
2025-01-06,106.2168
2025-01-07,106.3103
2025-01-08,106.4141
2025-01-09,106.5278
2025-01-10,106.6513
2025-01-13,106.7841
2025-01-14,106.9258
2025-01-15,107.0762
2025-01-16,107.2347
2025-01-17,107.4009
2025-01-20,107.5744
2025-01-21,107.7545
2025-01-22,107.9408
2025-01-23,108.1328
2025-01-24,108.3298
2025-01-27,108.5312
2025-01-28,108.7365
2025-01-29,108.9450
2025-01-30,109.1561
2025-01-31,109.3691
2025-02-03,109.5833
2025-02-04,109.7980
2025-02-05,110.0126
2025-02-06,110.2265
2025-02-07,110.4388
2025-02-10,110.6489
2025-02-11,110.8562
2025-02-12,111.0600
2025-02-13,111.2595
2025-02-14,111.4542
2025-02-17,111.6434
2025-02-18,111.8265
2025-02-19,112.0028
2025-02-20,112.1719
2025-02-21,112.3330
2025-02-24,112.4858
2025-02-25,112.6297
2025-02-26,112.7642
2025-02-27,112.8890
2025-02-28,113.0035
2025-03-03,113.1074
2025-03-04,113.2004
2025-03-05,113.2822
2025-03-06,113.3526
2025-03-07,113.4114
2025-03-10,113.4584
2025-03-11,113.4934
2025-03-12,113.5164
2025-03-13,113.5275
2025-03-14,113.5265
2025-03-17,113.5136
2025-03-18,113.4889
2025-03-19,113.4526
2025-03-20,113.4047
2025-03-21,113.3457
2025-03-24,113.2757
2025-03-25,113.1951
2025-03-26,113.1042
2025-03-27,113.0035
2025-03-28,112.8934
2025-03-31,112.7743
2025-04-01,112.6468
2025-04-02,112.5114
2025-04-03,112.3686
2025-04-04,112.2191
2025-04-07,112.0633
2025-04-08,111.9021
2025-04-09,111.7359
2025-04-10,111.5655
2025-04-11,111.3916
2025-04-14,111.2147
2025-04-15,111.0357
2025-04-16,110.8551
2025-04-17,110.6737
2025-04-18,110.4922
2025-04-21,110.3113
2025-04-22,110.1316
2025-04-23,109.9538
2025-04-24,109.7787
2025-04-25,109.6068
2025-04-28,109.4387
2025-04-29,109.2752
2025-04-30,109.1168
2025-05-01,108.9641
2025-05-02,108.8176
2025-05-05,108.6780
2025-05-06,108.5457
2025-05-07,108.4212
2025-05-08,108.3050
2025-05-09,108.1975
2025-05-12,108.0991
2025-05-13,108.0102
2025-05-14,107.9311
2025-05-15,107.8622
2025-05-16,107.8037
2025-05-19,107.7559
2025-05-20,107.7189
2025-05-21,105.7541
2025-05-22,105.7396
2025-05-23,105.7363
2025-05-26,105.7441
2025-05-27,105.7631
2025-05-28,105.7933
2025-05-29,105.8346
2025-05-30,105.8871
2025-06-02,105.9505
2025-06-03,106.0247
2025-06-04,106.1096
2025-06-05,106.2049
2025-06-06,106.3104
2025-06-09,106.4259
2025-06-10,106.5509
2025-06-11,106.6853
2025-06-12,106.8285
2025-06-13,106.9802
2025-06-16,107.1400
2025-06-17,107.3074
2025-06-18,107.4820
2025-06-19,107.6631
2025-06-20,107.8503
2025-06-23,108.0430
2025-06-24,108.2406
2025-06-25,108.4426
2025-06-26,108.6483
2025-06-27,108.8571
2025-06-30,109.0683
2025-07-01,109.2813
2025-07-02,109.4954
2025-07-03,109.7099
2025-07-04,109.9242
2025-07-07,110.1376
2025-07-08,110.3493
2025-07-09,110.5587
2025-07-10,110.7651
2025-07-11,110.9679
2025-07-14,111.1664
2025-07-15,111.3599
2025-07-16,111.5478
2025-07-17,111.7294
2025-07-18,111.9042
2025-07-21,112.0717
2025-07-22,112.2311
2025-07-23,112.3821
2025-07-24,112.5242
2025-07-25,112.6567
2025-07-28,112.7794
2025-07-29,112.8919
2025-07-30,112.9937
2025-07-31,113.0845
2025-08-01,113.1642
2025-08-04,113.2323
2025-08-05,113.2889
2025-08-06,113.3335
2025-08-07,113.3663
2025-08-08,113.3871
2025-08-11,113.3959
2025-08-12,113.3927
2025-08-13,113.3777
2025-08-14,113.3508
2025-08-15,113.3124
2025-08-18,113.2625
2025-08-19,113.2014
2025-08-20,113.1295
2025-08-21,113.0471
2025-08-22,112.9545
2025-08-25,112.8521
2025-08-26,112.7404
2025-08-27,112.6199
2025-08-28,112.4910
2025-08-29,112.3543
2025-09-01,112.2104
2025-09-02,112.0598
2025-09-03,111.9032
2025-09-04,111.7412
2025-09-05,111.5744
2025-09-08,111.4035
2025-09-09,111.2291
2025-09-10,111.0520
2025-09-11,110.8728
2025-09-12,110.6923
2025-09-15,110.5111
2025-09-16,110.3298
2025-09-17,110.1493
2025-09-18,109.9701
2025-09-19,109.7930
2025-09-22,109.6186
2025-09-23,107.4744
2025-09-24,107.3104
2025-09-25,107.1509
2025-09-26,106.9965
2025-09-29,106.8478
2025-09-30,106.7054
2025-10-01,106.5697
2025-10-02,106.4413
2025-10-03,106.3207
2025-10-06,106.2083
