date,adjusted_close
2025-01-02,98.0344
2025-01-03,98.0791
2025-01-06,98.1340
2025-01-07,98.1990
2025-01-08,98.2738
2025-01-09,98.3584
2025-01-10,98.4524
2025-01-13,98.5557
2025-01-14,98.6679
2025-01-15,98.7888
2025-01-16,98.9180
2025-01-17,99.0551
2025-01-20,99.1998
2025-01-21,99.3515
2025-01-22,99.5100
2025-01-23,99.6747
2025-01-24,99.8450
2025-01-27,100.0206
2025-01-28,100.2008
2025-01-29,100.3851
2025-01-30,100.5730
2025-01-31,100.7638
2025-02-03,100.9570
2025-02-04,101.1520
2025-02-05,101.3481
2025-02-06,101.5446
2025-02-07,101.7411
2025-02-10,101.9368
2025-02-11,102.1311
2025-02-12,102.3234
2025-02-13,102.5131
2025-02-14,102.6994
2025-02-17,102.8819
2025-02-18,103.0599
2025-02-19,103.2328
2025-02-20,103.4000
2025-02-21,103.5610
2025-02-24,103.7152
2025-02-25,103.8622
2025-02-26,104.0014
2025-02-27,104.1323
2025-02-28,104.2546
2025-03-03,104.3678
2025-03-04,104.4716
2025-03-05,104.5656
2025-03-06,104.6495
2025-03-07,104.7231
2025-03-10,104.7860
2025-03-11,104.8383
2025-03-12,104.8796
2025-03-13,104.9099
2025-03-14,104.9291
2025-03-17,104.9372
2025-03-18,104.9342
2025-03-19,104.9202
2025-03-20,104.8952
2025-03-21,104.8595
2025-03-24,104.8132
2025-03-25,104.7566
2025-03-26,104.6898
2025-03-27,104.6132
2025-03-28,104.5271
2025-03-31,104.4320
2025-04-01,104.3281
2025-04-02,104.2160
2025-04-03,104.0961
2025-04-04,103.9688
2025-04-07,103.8348
2025-04-08,103.6945
2025-04-09,103.5486
2025-04-10,103.3975
2025-04-11,103.2419
2025-04-14,103.0824
2025-04-15,102.9196
2025-04-16,102.7541
2025-04-17,102.5867
2025-04-18,102.4178
2025-04-21,102.2482
2025-04-22,102.0784
2025-04-23,101.9092
2025-04-24,101.7412
2025-04-25,101.5749
2025-04-28,101.4111
2025-04-29,101.2503
2025-04-30,101.0930
2025-05-01,100.9399
