date,adjusted_close
2025-01-02,110.0761
2025-01-03,110.1633
2025-01-06,110.2614
2025-01-07,110.3701
2025-01-08,110.4892
2025-01-09,110.6184
2025-01-10,110.7572
2025-01-13,110.9054
2025-01-14,111.0624
2025-01-15,111.2279
2025-01-16,111.4015
2025-01-17,111.5825
2025-01-20,111.7704
2025-01-21,111.9648
2025-01-22,112.1651
2025-01-23,112.3705
2025-01-24,112.5806
2025-01-27,112.7947
2025-01-28,113.0121
2025-01-29,113.2322
2025-01-30,113.4542
2025-01-31,113.6776
2025-02-03,113.9015
2025-02-04,114.1253
2025-02-05,114.3482
2025-02-06,114.5696
2025-02-07,114.7888
2025-02-10,115.0050
2025-02-11,115.2175
2025-02-12,115.4257
2025-02-13,115.6288
2025-02-14,115.8262
2025-02-17,116.0173
2025-02-18,116.2014
2025-02-19,116.3780
2025-02-20,116.5464
2025-02-21,116.7061
2025-02-24,116.8565
2025-02-25,116.9973
2025-02-26,117.1278
2025-02-27,117.2478
2025-02-28,117.3568
2025-03-03,117.4545
2025-03-04,117.5406
2025-03-05,117.6148
2025-03-06,117.6769
2025-03-07,117.7268
2025-03-10,117.7644
2025-03-11,117.7895
2025-03-12,117.8021
2025-03-13,117.8023
2025-03-14,117.7901
2025-03-17,117.7656
2025-03-18,117.7291
2025-03-19,117.6806
2025-03-20,117.6205
2025-03-21,117.5491
2025-03-24,117.4666
2025-03-25,117.3735
2025-03-26,117.2702
2025-03-27,117.1570
2025-03-28,117.0346
2025-03-31,116.9035
2025-04-01,116.7641
2025-04-02,116.6171
2025-04-03,116.4630
2025-04-04,116.3026
2025-04-07,116.1364
2025-04-08,115.9651
2025-04-09,115.7894
2025-04-10,115.6101
2025-04-11,115.4277
2025-04-14,115.2430
2025-04-15,115.0567
2025-04-16,114.8696
2025-04-17,114.6824
2025-04-18,114.4957
2025-04-21,114.3104
2025-04-22,114.1270
2025-04-23,113.9464
2025-04-24,113.7690
2025-04-25,113.5958
2025-04-28,113.4272
2025-04-29,113.2639
2025-04-30,113.1065
2025-05-01,112.9556
2025-05-02,112.8118
2025-05-05,112.6756
2025-05-06,112.5475
2025-05-07,112.4280
2025-05-08,112.3175
2025-05-09,112.2165
2025-05-12,112.1253
2025-05-13,112.0444
2025-05-14,111.9740
2025-05-15,111.9143
2025-05-16,111.8658
2025-05-19,111.8286
2025-05-20,111.8028
2025-05-21,111.7886
2025-05-22,109.7740
2025-05-23,109.7832
2025-05-26,109.8040
2025-05-27,109.8365
2025-05-28,109.8805
2025-05-29,109.9360
2025-05-30,110.0030
2025-06-02,110.0811
2025-06-03,110.1704
2025-06-04,110.2704
2025-06-05,110.3811
2025-06-06,110.5021
2025-06-09,110.6330
2025-06-10,110.7736
2025-06-11,110.9235
2025-06-12,111.0821
2025-06-13,111.2491
2025-06-16,111.4241
2025-06-17,111.6064
2025-06-18,111.7956
2025-06-19,111.9911
2025-06-20,112.1923
2025-06-23,112.3987
2025-06-24,112.6096
2025-06-25,112.8243
2025-06-26,113.0422
2025-06-27,113.2627
2025-06-30,113.4850
2025-07-01,113.7085
2025-07-02,113.9324
2025-07-03,114.1561
2025-07-04,114.3788
2025-07-07,114.5998
2025-07-08,114.8184
2025-07-09,115.0339
2025-07-10,115.2457
2025-07-11,115.4530
2025-07-14,115.6551
2025-07-15,115.8513
2025-07-16,116.0412
2025-07-17,116.2239
2025-07-18,116.3990
2025-07-21,116.5658
2025-07-22,116.7238
2025-07-23,116.8724
2025-07-24,117.0113
2025-07-25,117.1399
2025-07-28,117.2579
2025-07-29,117.3648
2025-07-30,117.4603
2025-07-31,117.5442
2025-08-01,117.6162
