date,adjusted_close
2025-01-02,114.0914
2025-01-03,114.1942
2025-01-06,114.3079
2025-01-07,114.4324
2025-01-08,114.5673
2025-01-09,114.7123
2025-01-10,114.8668
2025-01-13,115.0307
2025-01-14,115.2033
2025-01-15,115.3841
2025-01-16,115.5728
2025-01-17,115.7686
2025-01-20,115.9711
2025-01-21,116.1797
2025-01-22,116.3937
2025-01-23,116.6124
2025-01-24,116.8354
2025-01-27,117.0617
2025-01-28,117.2908
2025-01-29,117.5220
2025-01-30,117.7545
2025-01-31,117.9877
2025-02-03,118.2207
2025-02-04,118.4528
2025-02-05,118.6833
2025-02-06,118.9115
2025-02-07,119.1367
2025-02-10,119.3580
2025-02-11,119.5749
2025-02-12,119.7865
2025-02-13,119.9922
2025-02-14,120.1914
2025-02-17,120.3833
2025-02-18,120.5674
2025-02-19,120.7431
2025-02-20,120.9097
2025-02-21,121.0668
2025-02-24,121.2139
2025-02-25,121.3503
2025-02-26,121.4759
2025-02-27,121.5900
2025-02-28,121.6924
2025-03-03,121.7828
2025-03-04,121.8610
2025-03-05,121.9266
2025-03-06,121.9795
2025-03-07,122.0196
2025-03-10,122.0468
2025-03-11,122.0611
2025-03-12,122.0625
2025-03-13,122.0511
2025-03-14,122.0270
2025-03-17,121.9903
2025-03-18,121.9414
2025-03-19,121.8803
2025-03-20,121.8075
2025-03-21,121.7232
2025-03-24,121.6280
2025-03-25,121.5221
2025-03-26,121.4061
2025-03-27,121.2805
2025-03-28,121.1458
2025-03-31,121.0025
2025-04-01,120.8514
2025-04-02,120.6930
2025-04-03,120.5279
2025-04-04,120.3569
2025-04-07,120.1806
2025-04-08,119.9997
2025-04-09,119.8150
2025-04-10,119.6272
2025-04-11,119.4370
2025-04-14,119.2451
2025-04-15,119.0524
2025-04-16,118.8596
2025-04-17,118.6673
2025-04-18,118.4764
2025-04-21,118.2875
2025-04-22,118.1014
2025-04-23,117.9189
2025-04-24,117.7404
2025-04-25,117.5669
2025-04-28,117.3988
2025-04-29,117.2368
2025-04-30,117.0816
2025-05-01,116.9337
2025-05-02,116.7937
2025-05-05,116.6621
2025-05-06,116.5394
2025-05-07,116.4260
2025-05-08,116.3225
2025-05-09,116.2291
2025-05-12,116.1464
2025-05-13,116.0745
2025-05-14,116.0139
2025-05-15,115.9648
2025-05-16,115.9273
2025-05-19,115.9018
2025-05-20,115.8882
2025-05-21,115.8869
2025-05-22,115.8978
2025-05-23,113.8347
2025-05-26,113.8695
2025-05-27,113.9163
2025-05-28,113.9750
2025-05-29,114.0455
2025-05-30,114.1277
2025-06-02,114.2214
2025-06-03,114.3263
2025-06-04,114.4421
2025-06-05,114.5687
2025-06-06,114.7056
2025-06-09,114.8525
2025-06-10,115.0090
2025-06-11,115.1747
2025-06-12,115.3490
2025-06-13,115.5316
2025-06-16,115.7218
2025-06-17,115.9191
2025-06-18,116.1230
2025-06-19,116.3328
2025-06-20,116.5479
2025-06-23,116.7677
2025-06-24,116.9915
2025-06-25,117.2187
2025-06-26,117.4485
2025-06-27,117.6802
2025-06-30,117.9131
2025-07-01,118.1465
2025-07-02,118.3796
2025-07-03,118.6117
2025-07-04,118.8421
2025-07-07,119.0700
2025-07-08,119.2947
2025-07-09,119.5155
2025-07-10,119.7317
2025-07-11,119.9424
2025-07-14,120.1472
2025-07-15,120.3453
2025-07-16,120.5360
2025-07-17,120.7188
2025-07-18,120.8929
2025-07-21,121.0580
2025-07-22,121.2134
2025-07-23,121.3587
2025-07-24,121.4933
2025-07-25,121.6168
2025-07-28,121.7289
2025-07-29,121.8292
2025-07-30,121.9175
2025-07-31,121.9934
2025-08-01,122.0567
2025-08-04,122.1073
2025-08-05,122.1450
2025-08-06,122.1699
2025-08-07,122.1818
2025-08-08,122.1808
2025-08-11,122.1670
2025-08-12,122.1405
2025-08-13,122.1015
2025-08-14,122.0502
2025-08-15,121.9869
2025-08-18,121.9118
2025-08-19,121.8254
2025-08-20,121.7281
2025-08-21,121.6202
2025-08-22,121.5022
2025-08-25,121.3748
2025-08-26,121.2383
2025-08-27,121.0934
2025-08-28,120.9407
2025-08-29,120.7809
2025-09-01,120.6145
2025-09-02,120.4422
2025-09-03,120.2649
2025-09-04,120.0830
2025-09-05,119.8975
2025-09-08,119.7090
2025-09-09,119.5183
2025-09-10,119.3260
2025-09-11,119.1330
2025-09-12,118.9400
2025-09-15,118.7478
2025-09-16,118.5570
2025-09-17,118.3684
2025-09-18,118.1828
2025-09-19,118.0007
2025-09-22,117.8230
2025-09-23,115.5294
2025-09-24,115.3652
2025-09-25,115.2073
2025-09-26,115.0560
2025-09-29,114.9120
2025-09-30,114.7759
2025-10-01,114.6481
2025-10-02,114.5291
2025-10-03,114.4195
2025-10-06,114.3195
2025-10-07,114.2297
2025-10-08,114.1503
2025-10-09,114.0817
2025-10-10,114.0242
2025-10-13,113.9780
2025-10-14,113.9434
2025-10-15,113.9205
2025-10-16,113.9094
2025-10-17,113.9103
2025-10-20,113.9232
2025-10-21,113.9482
2025-10-22,113.9852
2025-10-23,114.0343
2025-10-24,114.0953
2025-10-27,114.1680
2025-10-28,114.2524
2025-10-29,114.3483
2025-10-30,114.4554
2025-10-31,114.5734
2025-11-03,114.7020
2025-11-04,114.8409
2025-11-05,114.9898
2025-11-06,115.1482
2025-11-07,115.3156
2025-11-10,115.4917
2025-11-11,115.6759
2025-11-12,115.8676
2025-11-13,116.0664
2025-11-14,116.2716
2025-11-17,116.4827
2025-11-18,116.6989
2025-11-19,116.9198
2025-11-20,117.1445
2025-11-21,117.3724
2025-11-24,117.6028
2025-11-25,117.8350
2025-11-26,118.0683
2025-11-27,118.3019
2025-11-28,118.5351
2025-12-01,118.7672
2025-12-02,118.9974
2025-12-03,119.2250
2025-12-04,119.4492
2025-12-05,119.6694
2025-12-08,119.8848
2025-12-09,120.0947
2025-12-10,120.2985
2025-12-11,120.4954
2025-12-12,120.6849
2025-12-15,120.8663
2025-12-16,121.0390
2025-12-17,121.2024
2025-12-18,121.3561
2025-12-19,121.4996
2025-12-22,121.6323
2025-12-23,121.7538
2025-12-24,121.8639
2025-12-25,121.9621
2025-12-26,122.0481
2025-12-29,122.1217
2025-12-30,122.1827
2025-12-31,122.2310
2026-01-01,122.2664
2026-01-02,122.2889
2026-01-05,122.2984
2026-01-06,122.2950
2026-01-07,122.2788
2026-01-08,122.2500
2026-01-09,122.2086
2026-01-12,122.1550
2026-01-13,122.0894
2026-01-14,122.0122
2026-01-15,121.9236
2026-01-16,121.8242
2026-01-19,121.7143
2026-01-20,121.5944
2026-01-21,121.4651
2026-01-22,121.3269
2026-01-23,121.1804
2026-01-26,121.0261
2026-01-27,120.8649
2026-01-28,120.6972
2026-01-29,120.5238
2026-01-30,120.3453
2026-02-02,120.1626
2026-02-03,119.9763
2026-02-04,119.7871
2026-02-05,119.5959
2026-02-06,119.4033
2026-02-09,119.2100
2026-02-10,119.0169
2026-02-11,118.8247
2026-02-12,118.6341
2026-02-13,118.4458
2026-02-16,118.2606
2026-02-17,118.0791
2026-02-18,117.9021
2026-02-19,117.7302
2026-02-20,117.5640
2026-02-23,117.4042
2026-02-24,117.2513
2026-02-25,117.1060
2026-02-26,116.9688
2026-02-27,116.8402
2026-03-02,116.7206
2026-03-03,116.6107
2026-03-04,116.5107
2026-03-05,116.4211
2026-03-06,116.3422
2026-03-09,116.2744
2026-03-10,116.2178
2026-03-11,116.1729
2026-03-12,116.1398
2026-03-13,116.1187
2026-03-16,116.1097
2026-03-17,116.1128
2026-03-18,116.1283
2026-03-19,116.1561
2026-03-20,116.1961
2026-03-23,116.2484
2026-03-24,116.3128
2026-03-25,116.3892
