date,adjusted_close
2025-01-02,118.1074
2025-01-03,118.2263
2025-01-06,118.3562
2025-01-07,118.4969
2025-01-08,118.6480
2025-01-09,118.8091
2025-01-10,118.9797
2025-01-13,119.1594
2025-01-14,119.3477
2025-01-15,119.5440
2025-01-16,119.7478
2025-01-17,119.9584
2025-01-20,120.1754
2025-01-21,120.3979
2025-01-22,120.6254
2025-01-23,120.8572
2025-01-24,121.0926
2025-01-27,121.3308
2025-01-28,121.5712
2025-01-29,121.8129
2025-01-30,122.0553
2025-01-31,122.2975
2025-02-03,122.5389
2025-02-04,122.7786
2025-02-05,123.0159
2025-02-06,123.2501
2025-02-07,123.4803
2025-02-10,123.7058
2025-02-11,123.9260
2025-02-12,124.1401
2025-02-13,124.3474
2025-02-14,124.5472
2025-02-17,124.7389
2025-02-18,124.9219
2025-02-19,125.0956
2025-02-20,125.2594
2025-02-21,125.4127
2025-02-24,125.5552
2025-02-25,125.6863
2025-02-26,125.8057
2025-02-27,125.9129
2025-02-28,126.0077
2025-03-03,126.0898
2025-03-04,126.1589
2025-03-05,126.2150
2025-03-06,126.2577
2025-03-07,126.2871
2025-03-10,126.3032
2025-03-11,126.3059
2025-03-12,126.2954
2025-03-13,126.2717
2025-03-14,126.2350
2025-03-17,126.1856
2025-03-18,126.1237
2025-03-19,126.0496
2025-03-20,125.9637
2025-03-21,125.8663
2025-03-24,125.7580
2025-03-25,125.6393
2025-03-26,125.5105
2025-03-27,125.3724
2025-03-28,125.2254
2025-03-31,125.0702
2025-04-01,124.9075
2025-04-02,124.7380
2025-04-03,124.5622
2025-04-04,124.3810
2025-04-07,124.1950
2025-04-08,124.0051
2025-04-09,123.8120
2025-04-10,123.6163
2025-04-11,123.4190
2025-04-14,123.2208
2025-04-15,123.0224
2025-04-16,122.8246
2025-04-17,122.6283
2025-04-18,122.4340
2025-04-21,122.2426
2025-04-22,122.0549
2025-04-23,121.8714
2025-04-24,121.6930
2025-04-25,121.5202
2025-04-28,121.3538
2025-04-29,121.1943
2025-04-30,121.0425
2025-05-01,120.8987
2025-05-02,120.7637
2025-05-05,120.6379
2025-05-06,120.5217
2025-05-07,120.4158
2025-05-08,120.3203
2025-05-09,120.2359
2025-05-12,120.1627
2025-05-13,120.1011
2025-05-14,120.0515
2025-05-15,120.0139
2025-05-16,119.9886
2025-05-19,119.9758
2025-05-20,119.9756
2025-05-21,119.9881
2025-05-22,120.0133
2025-05-23,120.0511
2025-05-26,117.9407
2025-05-27,118.0027
2025-05-28,118.0769
2025-05-29,118.1631
2025-05-30,118.2613
2025-06-02,118.3711
2025-06-03,118.4922
2025-06-04,118.6245
2025-06-05,118.7674
2025-06-06,118.9207
2025-06-09,119.0840
2025-06-10,119.2567
2025-06-11,119.4384
2025-06-12,119.6286
2025-06-13,119.8267
2025-06-16,120.0322
2025-06-17,120.2446
2025-06-18,120.4630
2025-06-19,120.6870
2025-06-20,120.9158
2025-06-23,121.1488
2025-06-24,121.3852
2025-06-25,121.6244
2025-06-26,121.8656
2025-06-27,122.1080
2025-06-30,122.3509
2025-07-01,122.5935
2025-07-02,122.8351
2025-07-03,123.0750
2025-07-04,123.3122
2025-07-07,123.5462
2025-07-08,123.7761
2025-07-09,124.0011
2025-07-10,124.2207
2025-07-11,124.4340
2025-07-14,124.6404
2025-07-15,124.8391
2025-07-16,125.0297
2025-07-17,125.2113
2025-07-18,125.3836
2025-07-21,125.5458
2025-07-22,125.6975
2025-07-23,125.8381
2025-07-24,125.9674
2025-07-25,126.0847
2025-07-28,126.1899
2025-07-29,126.2826
2025-07-30,126.3624
2025-07-31,126.4293
2025-08-01,126.4829
2025-08-04,126.5233
2025-08-05,126.5503
2025-08-06,126.5639
2025-08-07,126.5642
2025-08-08,126.5512
2025-08-11,126.5250
2025-08-12,126.4858
2025-08-13,126.4340
2025-08-14,126.3696
2025-08-15,126.2931
2025-08-18,126.2049
2025-08-19,126.1053
2025-08-20,125.9948
2025-08-21,125.8739
2025-08-22,125.7430
2025-08-25,125.6029
2025-08-26,125.4541
2025-08-27,125.2971
2025-08-28,125.1328
2025-08-29,124.9616
2025-09-01,124.7845
2025-09-02,124.6019
2025-09-03,124.4148
2025-09-04,124.2238
2025-09-05,124.0298
2025-09-08,123.8334
2025-09-09,123.6354
2025-09-10,123.4367
2025-09-11,123.2380
2025-09-12,123.0400
2025-09-15,122.8436
2025-09-16,122.6494
2025-09-17,122.4582
2025-09-18,122.2708
2025-09-19,122.0879
2025-09-22,121.9101
2025-09-23,119.5437
2025-09-24,119.3812
2025-09-25,119.2256
2025-09-26,119.0776
2025-09-29,118.9377
2025-09-30,118.8065
2025-10-01,118.6844
2025-10-02,118.5720
2025-10-03,118.4696
2025-10-06,118.3777
2025-10-07,118.2966
2025-10-08,118.2267
2025-10-09,118.1683
2025-10-10,118.1216
2025-10-13,118.0869
2025-10-14,118.0643
2025-10-15,118.0540
2025-10-16,118.0561
2025-10-17,118.0707
2025-10-20,118.0978
2025-10-21,118.1374
2025-10-22,118.1894
2025-10-23,118.2537
2025-10-24,118.3303
2025-10-27,118.4190
2025-10-28,118.5196
2025-10-29,118.6317
2025-10-30,118.7552
2025-10-31,118.8897
2025-11-03,119.0349
2025-11-04,119.1904
2025-11-05,119.3558
2025-11-06,119.5306
2025-11-07,119.7142
2025-11-10,119.9064
