date,adjusted_close
2025-01-02,122.1240
2025-01-03,122.2594
2025-01-06,122.4060
2025-01-07,122.5633
2025-01-08,122.7309
2025-01-09,122.9084
2025-01-10,123.0953
2025-01-13,123.2910
2025-01-14,123.4950
2025-01-15,123.7068
2025-01-16,123.9256
2025-01-17,124.1510
2025-01-20,124.3821
2025-01-21,124.6184
2025-01-22,124.8591
2025-01-23,125.1035
2025-01-24,125.3509
2025-01-27,125.6005
2025-01-28,125.8515
2025-01-29,126.1031
2025-01-30,126.3547
2025-01-31,126.6053
2025-02-03,126.8543
2025-02-04,127.1007
2025-02-05,127.3439
2025-02-06,127.5830
2025-02-07,127.8174
2025-02-10,128.0461
2025-02-11,128.2686
2025-02-12,128.4841
2025-02-13,128.6919
2025-02-14,128.8912
2025-02-17,129.0816
2025-02-18,129.2623
2025-02-19,129.4329
2025-02-20,129.5926
2025-02-21,129.7411
2025-02-24,129.8779
2025-02-25,130.0026
2025-02-26,130.1147
2025-02-27,130.2140
2025-02-28,130.3001
2025-03-03,130.3728
2025-03-04,130.4320
2025-03-05,130.4775
2025-03-06,130.5092
2025-03-07,130.5271
2025-03-10,130.5313
2025-03-11,130.5217
2025-03-12,130.4985
2025-03-13,130.4619
2025-03-14,130.4121
2025-03-17,130.3494
2025-03-18,130.2742
2025-03-19,130.1867
2025-03-20,130.0874
2025-03-21,129.9768
2025-03-24,129.8553
2025-03-25,129.7235
2025-03-26,129.5820
2025-03-27,129.4314
2025-03-28,129.2723
2025-03-31,129.1055
2025-04-01,128.9315
2025-04-02,128.7511
2025-04-03,128.5651
2025-04-04,128.3742
2025-04-07,128.1791
2025-04-08,127.9807
2025-04-09,127.7798
2025-04-10,127.5771
2025-04-11,127.3735
2025-04-14,127.1697
2025-04-15,126.9666
2025-04-16,126.7648
2025-04-17,126.5653
2025-04-18,126.3687
2025-04-21,126.1759
2025-04-22,125.9875
2025-04-23,125.8043
2025-04-24,125.6269
2025-04-25,125.4562
2025-04-28,125.2926
2025-04-29,125.1368
2025-04-30,124.9895
2025-05-01,124.8511
2025-05-02,124.7223
2025-05-05,124.6035
2025-05-06,124.4951
2025-05-07,124.3977
2025-05-08,124.3117
2025-05-09,124.2372
2025-05-12,124.1748
2025-05-13,124.1247
2025-05-14,124.0871
2025-05-15,124.0622
2025-05-16,124.0502
2025-05-19,124.0513
2025-05-20,124.0654
2025-05-21,124.0926
2025-05-22,124.1330
2025-05-23,124.1865
2025-05-26,124.2530
2025-05-27,122.0958
2025-05-28,122.1862
2025-05-29,122.2889
2025-05-30,122.4037
2025-06-02,122.5302
2025-06-03,122.6682
2025-06-04,122.8172
2025-06-05,122.9770
2025-06-06,123.1470
2025-06-09,123.3269
2025-06-10,123.5160
2025-06-11,123.7139
2025-06-12,123.9201
2025-06-13,124.1339
2025-06-16,124.3547
2025-06-17,124.5818
2025-06-18,124.8147
2025-06-19,125.0526
2025-06-20,125.2948
2025-06-23,125.5406
2025-06-24,125.7892
2025-06-25,126.0399
2025-06-26,126.2919
2025-06-27,126.5444
2025-06-30,126.7966
2025-07-01,127.0477
2025-07-02,127.2971
2025-07-03,127.5437
2025-07-04,127.7870
2025-07-07,128.0260
2025-07-08,128.2601
2025-07-09,128.4885
2025-07-10,128.7104
2025-07-11,128.9252
2025-07-14,129.1321
2025-07-15,129.3305
2025-07-16,129.5197
2025-07-17,129.6991
2025-07-18,129.8682
2025-07-21,130.0264
2025-07-22,130.1732
2025-07-23,130.3082
2025-07-24,130.4309
2025-07-25,130.5410
2025-07-28,130.6382
2025-07-29,130.7221
2025-07-30,130.7926
2025-07-31,130.8494
2025-08-01,130.8925
2025-08-04,130.9217
2025-08-05,130.9371
2025-08-06,130.9387
2025-08-07,130.9265
2025-08-08,130.9007
2025-08-11,130.8615
2025-08-12,130.8092
2025-08-13,130.7439
2025-08-14,130.6661
2025-08-15,130.5761
2025-08-18,130.4744
2025-08-19,130.3613
2025-08-20,130.2375
2025-08-21,130.1035
2025-08-22,129.9598
2025-08-25,129.8071
2025-08-26,129.6460
2025-08-27,129.4772
2025-08-28,129.3015
2025-08-29,129.1194
2025-09-01,128.9318
2025-09-02,128.7395
2025-09-03,128.5432
2025-09-04,128.3436
2025-09-05,128.1417
2025-09-08,127.9381
2025-09-09,127.7338
2025-09-10,127.5294
2025-09-11,127.3258
2025-09-12,127.1238
2025-09-15,126.9241
2025-09-16,126.7276
2025-09-17,126.5349
2025-09-18,126.3469
2025-09-19,126.1641
2025-09-22,125.9874
2025-09-23,123.5496
2025-09-24,123.3898
2025-09-25,123.2379
2025-09-26,123.0944
2025-09-29,122.9598
2025-09-30,122.8347
2025-10-01,122.7195
2025-10-02,122.6148
2025-10-03,122.5209
2025-10-06,122.4382
2025-10-07,122.3671
2025-10-08,122.3078
2025-10-09,122.2607
2025-10-10,122.2260
2025-10-13,122.2039
2025-10-14,122.1944
2025-10-15,122.1978
2025-10-16,122.2141
2025-10-17,122.2434
2025-10-20,122.2856
2025-10-21,122.3406
2025-10-22,122.4085
2025-10-23,122.4890
2025-10-24,122.5820
2025-10-27,122.6873
2025-10-28,122.8047
2025-10-29,122.9337
2025-10-30,123.0742
2025-10-31,123.2258
2025-11-03,123.3880
2025-11-04,123.5604
2025-11-05,123.7425
2025-11-06,123.9339
2025-11-07,124.1341
2025-11-10,124.3423
2025-11-11,124.5581
2025-11-12,124.7808
2025-11-13,125.0098
2025-11-14,125.2444
2025-11-17,125.4839
2025-11-18,125.7276
2025-11-19,125.9747
2025-11-20,126.2245
2025-11-21,126.4763
2025-11-24,126.7292
2025-11-25,126.9825
2025-11-26,127.2353
2025-11-27,127.4870
2025-11-28,127.7366
2025-12-01,127.9835
2025-12-02,128.2268
