date,adjusted_close
2025-01-02,126.1410
2025-01-03,126.2935
2025-01-06,126.4570
2025-01-07,126.6313
2025-01-08,126.8157
2025-01-09,127.0097
2025-01-10,127.2130
2025-01-13,127.4247
2025-01-14,127.6445
2025-01-15,127.8716
2025-01-16,128.1054
2025-01-17,128.3452
2025-01-20,128.5903
2025-01-21,128.8400
2025-01-22,129.0934
2025-01-23,129.3500
2025-01-24,129.6088
2025-01-27,129.8691
2025-01-28,130.1301
2025-01-29,130.3910
2025-01-30,130.6510
2025-01-31,130.9092
2025-02-03,131.1648
2025-02-04,131.4171
2025-02-05,131.6652
2025-02-06,131.9083
2025-02-07,132.1458
2025-02-10,132.3767
2025-02-11,132.6004
2025-02-12,132.8161
2025-02-13,133.0232
2025-02-14,133.2210
2025-02-17,133.4089
2025-02-18,133.5862
2025-02-19,133.7524
2025-02-20,133.9070
2025-02-21,134.0496
2025-02-24,134.1795
2025-02-25,134.2966
2025-02-26,134.4004
2025-02-27,134.4907
2025-02-28,134.5671
2025-03-03,134.6295
2025-03-04,134.6778
2025-03-05,134.7119
2025-03-06,134.7318
2025-03-07,134.7374
2025-03-10,134.7288
2025-03-11,134.7062
2025-03-12,134.6698
2025-03-13,134.6198
2025-03-14,134.5564
2025-03-17,134.4800
2025-03-18,134.3911
2025-03-19,134.2899
2025-03-20,134.1771
2025-03-21,134.0530
2025-03-24,133.9183
2025-03-25,133.7736
2025-03-26,133.6194
2025-03-27,133.4566
2025-03-28,133.2856
2025-03-31,133.1073
2025-04-01,132.9224
2025-04-02,132.7317
2025-04-03,132.5359
2025-04-04,132.3359
2025-04-07,132.1324
2025-04-08,131.9263
2025-04-09,131.7184
2025-04-10,131.5094
2025-04-11,131.3003
2025-04-14,131.0919
2025-04-15,130.8849
2025-04-16,130.6802
2025-04-17,130.4786
2025-04-18,130.2807
2025-04-21,130.0875
2025-04-22,129.8997
2025-04-23,129.7178
2025-04-24,129.5428
2025-04-25,129.3752
2025-04-28,129.2156
2025-04-29,129.0648
2025-04-30,128.9232
2025-05-01,128.7915
2025-05-02,128.6701
2025-05-05,128.5595
2025-05-06,128.4602
2025-05-07,128.3726
2025-05-08,128.2970
2025-05-09,128.2339
2025-05-12,128.1834
2025-05-13,128.1458
2025-05-14,128.1214
2025-05-15,128.1103
2025-05-16,128.1127
2025-05-19,128.1285
2025-05-20,128.1580
2025-05-21,128.2009
2025-05-22,128.2575
2025-05-23,128.3274
2025-05-26,128.4107
2025-05-27,128.5070
2025-05-28,126.3032
2025-05-29,126.4230
2025-05-30,126.5549
2025-06-02,126.6987
2025-06-03,126.8539
2025-06-04,127.0202
2025-06-05,127.1971
2025-06-06,127.3841
2025-06-09,127.5808
2025-06-10,127.7865
2025-06-11,128.0007
2025-06-12,128.2228
2025-06-13,128.4521
2025-06-16,128.6881
2025-06-17,128.9299
2025-06-18,129.1770
2025-06-19,129.4285
2025-06-20,129.6836
2025-06-23,129.9417
2025-06-24,130.2020
2025-06-25,130.4636
2025-06-26,130.7257
2025-06-27,130.9876
2025-06-30,131.2484
2025-07-01,131.5072
2025-07-02,131.7634
2025-07-03,132.0160
2025-07-04,132.2643
2025-07-07,132.5075
2025-07-08,132.7447
2025-07-09,132.9753
2025-07-10,133.1985
2025-07-11,133.4136
2025-07-14,133.6199
2025-07-15,133.8167
2025-07-16,134.0034
2025-07-17,134.1795
2025-07-18,134.3443
2025-07-21,134.4973
2025-07-22,134.6381
2025-07-23,134.7663
2025-07-24,134.8814
2025-07-25,134.9831
2025-07-28,135.0712
2025-07-29,135.1453
2025-07-30,135.2054
2025-07-31,135.2513
2025-08-01,135.2828
